#Centroids	alpha_prevalence_VAGINA	beta_prevalence	mean_abundance	ppanini_score_VAGINA
UniRef90_E3BSP1	0.105263157895	0.105263157895	928.532543916	16.9462707678
UniRef90_E3BSP8	0.263157894737	0.263157894737	578.76734765	17.6492052955
UniRef90_A8YWW1	0.473684210526	0.473684210526	382.36252253	15.9167187307
UniRef90_A8YWW2	0.5	0.5	373.966765615	15.8165985438
UniRef90_A8YWW3	0.5	0.5	416.821715707	16.6946363234
UniRef90_C2KDZ8	0.105263157895	0.105263157895	545.363109965	16.5053161134
UniRef90_E1NNQ1	0.289473684211	0.289473684211	562.896609646	17.7039340145
UniRef90_Q74HC3	0.157894736842	0.157894736842	419.058464788	15.9279420309
UniRef90_Q74HC2	0.157894736842	0.157894736842	416.67067891	15.8971038726
UniRef90_Q74HC4	0.157894736842	0.157894736842	416.233316302	15.8909782189
UniRef90_D0R1M7	0.157894736842	0.157894736842	350.451841687	14.6425892913
UniRef90_D6S2H6	0.315789473684	0.315789473684	335.919512649	14.7523126875
UniRef90_D6S3C9	0.263157894737	0.263157894737	414.158657617	16.2142945025
UniRef90_E3BT31	0.289473684211	0.289473684211	572.065217409	17.744565086
UniRef90_E3BT30	0.289473684211	0.289473684211	552.061366089	17.6523409423
UniRef90_E3BT33	0.315789473684	0.315789473684	577.697252588	17.8770647003
UniRef50_D5H0Q1	0.0526315789474	0.0526315789474	420.314080859	14.5420654221
UniRef90_D6S3C3	0.263157894737	0.263157894737	403.194908589	15.9798871001
UniRef90_D6S3C2	0.315789473684	0.315789473684	344.271052185	14.9744791124
UniRef90_D6S3C1	0.342105263158	0.342105263158	332.322629897	14.7120417245
UniRef90_D6S3C0	0.263157894737	0.263157894737	407.896192637	16.0832397971
UniRef90_E3BT38	0.289473684211	0.289473684211	554.200560561	17.6603946111
UniRef90_D6S3C5	0.289473684211	0.289473684211	380.147140488	15.6431178132
UniRef90_C4VL80	0.131578947368	0.131578947368	419.53904816	15.691781678
SRS011355.1940	0.210526315789	0.210526315789	464.485962395	16.8218300662
SRS044742.983	0.0526315789474	0.0526315789474	682.295253738	15.7742745607
UniRef90_C8PBS4	0.263157894737	0.263157894737	480.746321323	17.096477543
UniRef90_C8PBS9	0.289473684211	0.289473684211	532.438737989	17.5730867554
UniRef90_E3BRV5	0.289473684211	0.289473684211	571.361860303	17.741732514
UniRef90_E3BRV6	0.289473684211	0.289473684211	576.09043167	17.7624972143
UniRef90_E3BRV7	0.263157894737	0.263157894737	570.663538563	17.6156977291
UniRef90_C7XKF0	0.289473684211	0.289473684211	343.883418288	14.8871026822
UniRef90_C7XKF5	0.394736842105	0.394736842105	388.539750268	15.9755574908
UniRef90_C7XKF7	0.236842105263	0.236842105263	363.586127807	15.1695194353
