#Centroids	ppanini_score	alpha_prevalence	beta_prevalence	mean_abundance
UniRef90_D9RSN2	{'VAGINA': 8.0413482217830321}	{'VAGINA': 0.02631578947368421}	0.0263157894737	178.388201104
UniRef90_D9RSN3	{'VAGINA': 8.0413482217830321}	{'VAGINA': 0.02631578947368421}	0.0263157894737	178.388201104
UniRef90_A0A096AJ87	{'VAGINA': 7.4851894634908458}	{'VAGINA': 0.02631578947368421}	0.0263157894737	153.032355682
UniRef90_A0A096C8R1	{'VAGINA': 8.2187338741832168}	{'VAGINA': 0.02631578947368421}	0.0263157894737	185.194647501
UniRef90_Q043E6	{'VAGINA': 13.307059766366054}	{'VAGINA': 0.13157894736842105}	0.131578947368	303.093830168
UniRef90_D2RC33	{'VAGINA': 7.0794759644883989}	{'VAGINA': 0.10526315789473684}	0.105263157895	85.4264314918
UniRef50_D0DWY3	{'VAGINA': 8.6504215629993304}	{'VAGINA': 0.02631578947368421}	0.0263157894737	226.024372748
SRS011269.2585	{'VAGINA': 5.4526687771809863}	{'VAGINA': 0.02631578947368421}	0.0263157894737	67.6211867386
UniRef90_A0A063AY85	{'VAGINA': 3.6791804040846041}	{'VAGINA': 0.02631578947368421}	0.0263157894737	26.2824325486
UniRef50_E1L0E0	{'VAGINA': 2.5964693170133613}	{'VAGINA': 0.02631578947368421}	0.0263157894737	19.6479746558
UniRef50_C7XHJ8	{'VAGINA': 11.216362012630997}	{'VAGINA': 0.02631578947368421}	0.0263157894737	562.840845109
UniRef90_F5TG89	{'VAGINA': 2.895539759544393}	{'VAGINA': 0.02631578947368421}	0.0263157894737	21.5904162528
UniRef50_C7XHJ7	{'VAGINA': 16.507974406032595}	{'VAGINA': 0.13157894736842105}	0.131578947368	488.749742179
UniRef50_E1L0E6	{'VAGINA': 2.0343352047653309}	{'VAGINA': 0.02631578947368421}	0.0263157894737	16.0997213895
SRS042858.1793	{'VAGINA': 12.722980403477091}	{'VAGINA': 0.05263157894736842}	0.0526315789474	314.315656496
UniRef50_E1M1T9	{'VAGINA': 3.4064740502015005}	{'VAGINA': 0.02631578947368421}	0.0263157894737	24.492744115
UniRef50_F6CEN7	{'VAGINA': 10.08869543763406}	{'VAGINA': 0.02631578947368421}	0.0263157894737	351.372184868
SRS011269.2583	{'VAGINA': 7.1844747586878697}	{'VAGINA': 0.07894736842105263}	0.0789473684211	90.9114994619
UniRef50_E1NSL8	{'VAGINA': 10.427081565060556}	{'VAGINA': 0.02631578947368421}	0.0263157894737	388.670111745
UniRef50_E1NSL3	{'VAGINA': 10.251906545775427}	{'VAGINA': 0.02631578947368421}	0.0263157894737	368.64927884
UniRef50_E1NSL2	{'VAGINA': 10.070978967455492}	{'VAGINA': 0.02631578947368421}	0.0263157894737	349.421908686
UniRef50_I4LL65	{'VAGINA': 9.8482330495371784}	{'VAGINA': 0.05263157894736842}	0.0526315789474	173.283021187
UniRef50_C2EVR4	{'VAGINA': 4.2586372200521954}	{'VAGINA': 0.02631578947368421}	0.0263157894737	31.4038574567
UniRef90_D6T2A6	{'VAGINA': 6.716755839010017}	{'VAGINA': 0.02631578947368421}	0.0263157894737	120.588876836
UniRef50_A1IV36	{'VAGINA': 1.7074389447820104}	{'VAGINA': 0.02631578947368421}	0.0263157894737	14.1661196411
UniRef50_C9M0B9	{'VAGINA': 11.039149273026352}	{'VAGINA': 0.02631578947368421}	0.0263157894737	485.81401828
UniRef50_F0GQC0	{'VAGINA': 8.6712075104552078}	{'VAGINA': 0.02631578947368421}	0.0263157894737	229.422148814
UniRef90_U6S7A8	{'VAGINA': 11.379974560736589}	{'VAGINA': 0.10526315789473684}	0.105263157895	215.863079894
UniRef90_A0A095YJ42	{'VAGINA': 7.0213763620368317}	{'VAGINA': 0.02631578947368421}	0.0263157894737	133.96149078
UniRef90_D1AUV7	{'VAGINA': 10.946825164330924}	{'VAGINA': 0.02631578947368421}	0.0263157894737	462.859828377
UniRef50_D1YIN5	{'VAGINA': 0.2307973156229354}	{'VAGINA': 0.0}	0.0	0.0
SRS049237.362	{'VAGINA': 13.201771886586057}	{'VAGINA': 0.07894736842105263}	0.0789473684211	317.150888084
SRS049237.361	{'VAGINA': 13.201771886586057}	{'VAGINA': 0.07894736842105263}	0.0789473684211	317.150888084
SRS049237.360	{'VAGINA': 13.201771886586057}	{'VAGINA': 0.07894736842105263}	0.0789473684211	317.150888084
UniRef90_B1AI83	{'VAGINA': 4.300576865967991}	{'VAGINA': 0.02631578947368421}	0.0263157894737	31.908596776
UniRef90_B1AI82	{'VAGINA': 4.6154637766123878}	{'VAGINA': 0.02631578947368421}	0.0263157894737	38.1163677412
UniRef50_A6LKI2	{'VAGINA': 7.258112563739437}	{'VAGINA': 0.02631578947368421}	0.0263157894737	141.481318026
UniRef90_F6A3A7	{'VAGINA': 9.483663080340655}	{'VAGINA': 0.05263157894736842}	0.0526315789474	161.687904073
